point.ID,poly.ID,X,Y,TAXOUSDA,TAXNUSDA
1,1471,8810334,3621297,Aquolls,Haplaquolls
2,440,8967758,3654157,Udolls,Argiudolls
3,2945,8881880,3750977,Udolls,Hapludolls
4,2284,8911732,3754700,Udalfs,Hapludalfs
5,450,8910134,3780463,Udolls,Argiudolls
6,965,8914208,3778063,Aqualfs,Endoaqualfs
7,506,8887970,3768237,Udolls,Argiudolls
8,1268,8806169,3696449,Aquolls,Endoaquolls
9,1490,8911721,3733270,Saprists,Haplosaprists
10,3238,8945171,3756272,Psamments,Udipsamments
11,3118,8885939,3678574,Arents,Udarents
12,3145,8885735,3678686,Arents,Udarents
13,3144,8885079,3678374,Arents,Udarents
14,3112,8887804,3679496,Arents,Udarents
15,3109,8885232,3679749,Arents,Udarents
16,3110,8885978,3679944,Arents,Udarents
17,3108,8888250,3679751,Arents,Udarents
18,3139,8888364,3679096,Arents,Udarents
19,250,8909481,3677419,Udolls,Argiudolls
20,3115,8888136,3679089,Arents,Udarents
21,3112,8887804,3679496,Arents,Udarents
22,3135,8889040,3674818,Arents,Udarents
23,578,8894738,3679471,Udolls,Argiudolls
24,3120,8885279,3672733,Arents,Udarents
25,3133,8891493,3681013,Arents,Udarents
26,3104,8894349,3721856,Arents,Udarents
27,21,8892705,3644694,Aqualfs,Albaqualfs
28,3107,8894505,3649511,Arents,Udarents
29,264,8841400,3703635,Udolls,Argiudolls
30,1627,8867146,3681790,Udalfs,Hapludalfs
31,591,8837563,3710927,Udolls,Argiudolls
32,2641,8812453,3640938,Udolls,Hapludolls
33,5,8861232,3652879,Aqualfs,Albaqualfs
34,968,8833372,3644980,Aqualfs,Endoaqualfs
35,2430,8911164,3810226,Udalfs,Hapludalfs
36,2430,8911164,3810226,Udalfs,Hapludalfs
37,1570,8899277,3810425,Udalfs,Hapludalfs
38,797,8880589,3681626,Udolls,Argiudolls
39,797,8880589,3681626,Udolls,Argiudolls
40,797,8880589,3681626,Udolls,Argiudolls
41,797,8880589,3681626,Udolls,Argiudolls
42,807,8944018,3816555,Udolls,Argiudolls
43,1147,8842369,3645193,Aquolls,Endoaquolls
44,1573,8941721,3801995,Udalfs,Hapludalfs
45,554,8926029,3799669,Udolls,Argiudolls
46,2222,8920348,3810952,Udalfs,Hapludalfs
47,1297,8959472,3682249,Aquolls,Endoaquolls
48,1018,8989946,3726842,Aquolls,Endoaquolls
49,206,8994587,3756368,Udolls,Argiudolls
50,2267,8896671,3777365,Udalfs,Hapludalfs
51,2982,8965480,3698978,Udolls,Hapludolls
52,593,9001250,3715001,Udolls,Argiudolls
53,1939,8913128,3796659,Udalfs,Hapludalfs
54,2506,8827010,3665777,Udalfs,Hapludalfs
55,1572,8911996,3786199,Udalfs,Hapludalfs
56,210,8886343,3678410,Udolls,Argiudolls
57,791,8895977,3625720,Udolls,Argiudolls
58,400,8678804,3849925,Udolls,Argiudolls
59,1954,8806217,3857947,Udalfs,Hapludalfs
60,1954,8806217,3857947,Udalfs,Hapludalfs
61,1954,8806217,3857947,Udalfs,Hapludalfs
62,2659,8759443,3820403,Udolls,Hapludolls
63,2222,8920348,3810952,Udalfs,Hapludalfs
64,3066,8759114,3778458,Udolls,Hapludolls
65,1490,8911721,3733270,Saprists,Haplosaprists
66,818,8865139,3711314,Udolls,Argiudolls
67,258,8864548,3697559,Udolls,Argiudolls
68,135,8974008,3705835,Udolls,Argiudolls
69,1365,8974008,3705827,Aquolls,Endoaquolls
70,1627,8867146,3681790,Udalfs,Hapludalfs
