X,Y,TAXOUSDA,TAXNUSDA
8867243,3807745,Aqualfs,Albaqualfs
8909621,3689229,Aqualfs,Albaqualfs
8933960,3669839,Aqualfs,Albaqualfs
8912430,3672461,Aqualfs,Albaqualfs
8861232,3652879,Aqualfs,Albaqualfs
8889396,3824925,Aqualfs,Albaqualfs
8886573,3728577,Aqualfs,Albaqualfs
8843411,3830470,Aqualfs,Albaqualfs
8902935,3673322,Aqualfs,Albaqualfs
8929530,3666138,Aqualfs,Albaqualfs
8902900,3654819,Aqualfs,Albaqualfs
8875356,3740638,Aqualfs,Albaqualfs
8729758,3628165,Aqualfs,Albaqualfs
8748122,3650274,Aqualfs,Albaqualfs
8743907,3647392,Aqualfs,Albaqualfs
8854570,3700610,Aqualfs,Albaqualfs
8871022,3717403,Aqualfs,Albaqualfs
8881002,3700049,Aqualfs,Albaqualfs
8899144,3679179,Aqualfs,Albaqualfs
8872048,3680501,Aqualfs,Albaqualfs
8892705,3644694,Aqualfs,Albaqualfs
8889670,3648106,Aqualfs,Albaqualfs
8861440,3675181,Aqualfs,Albaqualfs
8942753,3771179,Aqualfs,Albaqualfs
8853241,3641455,Aqualfs,Albaqualfs
8862608,3637775,Aqualfs,Albaqualfs
8720368,3650336,Aqualfs,Albaqualfs
8732205,3644401,Aqualfs,Albaqualfs
8721208,3701729,Aqualfs,Albaqualfs
8943496,3660663,Aqualfs,Albaqualfs
8727077,3652664,Aqualfs,Albaqualfs
8748081,3650285,Aqualfs,Albaqualfs
8744449,3639381,Aqualfs,Albaqualfs
8720794,3666177,Aqualfs,Albaqualfs
8727910,3651427,Aqualfs,Albaqualfs
8869565,3634906,Aqualfs,Albaqualfs
8872989,3633426,Aqualfs,Albaqualfs
8903487,3634383,Aqualfs,Albaqualfs
8867120,3725000,Aqualfs,Albaqualfs
8893513,3739327,Aqualfs,Albaqualfs
8867188,3807199,Aqualfs,Albaqualfs
8868978,3808421,Aqualfs,Albaqualfs
8824246,3684017,Aqualfs,Albaqualfs
8821709,3683110,Aqualfs,Albaqualfs
8825873,3680106,Aqualfs,Albaqualfs
8823547,3680899,Aqualfs,Albaqualfs
8895866,3744804,Aqualfs,Albaqualfs
8823807,3843592,Aqualfs,Albaqualfs
8873059,3784689,Aqualfs,Albaqualfs
8840793,3711182,Aqualfs,Albaqualfs
8844841,3621531,Aqualfs,Albaqualfs
8830170,3686113,Aqualfs,Albaqualfs
8941294,3693806,Aqualfs,Albaqualfs
8844846,3621538,Aqualfs,Albaqualfs
8700916,3663646,Aqualfs,Albaqualfs
8860391,3649996,Aqualfs,Albaqualfs
8915576,3828534,Albolls,Argialbolls
8726812,3677382,Albolls,Argialbolls
8814252,3743616,Albolls,Argialbolls
8998567,3691525,Albolls,Argialbolls
8707493,3622992,Albolls,Argialbolls
8772304,3644263,Albolls,Argialbolls
8723936,3656999,Albolls,Argialbolls
8763346,3628010,Albolls,Argialbolls
8678921,3652006,Albolls,Argialbolls
8960691,3784028,Albolls,Argialbolls
8902809,3654807,Albolls,Argialbolls
8879051,3668154,Albolls,Argialbolls
8935476,3720212,Albolls,Argialbolls
8934838,3721958,Albolls,Argialbolls
8932159,3721789,Albolls,Argialbolls
8832895,3672393,Albolls,Argialbolls
8874670,3756591,Albolls,Argialbolls
8945452,3771786,Albolls,Argialbolls
8726971,3714739,Albolls,Argialbolls
8725492,3714818,Albolls,Argialbolls
8742852,3624844,Albolls,Argialbolls
8726792,3677403,Albolls,Argialbolls
8715956,3740718,Albolls,Argialbolls
8725492,3714818,Albolls,Argialbolls
8764800,3712904,Albolls,Argialbolls
8909750,3739118,Albolls,Argialbolls
8891719,3737084,Albolls,Argialbolls
8825182,3679516,Albolls,Argialbolls
8825142,3679543,Albolls,Argialbolls
8899003,3746421,Albolls,Argialbolls
8931374,3767583,Albolls,Argialbolls
8862803,3759753,Albolls,Argialbolls
8786832,3776052,Albolls,Argialbolls
8915564,3828616,Albolls,Argialbolls
8712076,3676712,Albolls,Argialbolls
8742597,3694979,Albolls,Argialbolls
8726785,3677404,Albolls,Argialbolls
8702966,3727863,Aquolls,Argiaquolls
8702966,3727862,Aquolls,Argiaquolls
8891953,3644540,Aquolls,Argiaquolls
8866425,3628554,Aquolls,Argiaquolls
8750155,3647919,Aquolls,Argiaquolls
8747574,3647664,Aquolls,Argiaquolls
8866332,3846135,Aquolls,Argiaquolls
8890491,3654026,Aquolls,Argiaquolls
8856214,3651218,Aquolls,Argiaquolls
8740003,3645380,Aquolls,Argiaquolls
8696684,3811484,Aquolls,Argiaquolls
8708273,3708897,Aquolls,Argiaquolls
8949788,3761654,Aquolls,Argiaquolls
8969532,3810700,Aquolls,Argiaquolls
8946014,3757337,Aquolls,Argiaquolls
8667245,3709912,Aquolls,Argiaquolls
8751296,3707893,Aquolls,Argiaquolls
8741360,3707840,Aquolls,Argiaquolls
8700342,3673531,Aquolls,Argiaquolls
8687433,3722838,Aquolls,Argiaquolls
8771385,3692023,Aquolls,Argiaquolls
8785132,3675586,Aquolls,Argiaquolls
8715246,3678129,Aquolls,Argiaquolls
8778080,3671764,Aquolls,Argiaquolls
8787149,3669285,Aquolls,Argiaquolls
8714710,3679968,Aquolls,Argiaquolls
8701012,3679091,Aquolls,Argiaquolls
8710677,3680224,Aquolls,Argiaquolls
8881516,3854430,Aquolls,Argiaquolls
8934534,3776398,Aquolls,Argiaquolls
8759403,3631560,Aquolls,Argiaquolls
8764382,3645760,Aquolls,Argiaquolls
8854720,3633042,Aquolls,Argiaquolls
8750435,3867245,Aquolls,Argiaquolls
8695476,3622345,Aquolls,Argiaquolls
8678600,3621747,Aquolls,Argiaquolls
8692642,3630244,Aquolls,Argiaquolls
8778654,3668412,Aquolls,Argiaquolls
8745930,3725873,Aquolls,Argiaquolls
8746317,3703608,Aquolls,Argiaquolls
8970852,3673538,Udolls,Argiudolls
8973654,3706255,Udolls,Argiudolls
8974008,3705835,Udolls,Argiudolls
8958193,3777198,Udolls,Argiudolls
8924115,3835114,Udolls,Argiudolls
8915152,3828614,Udolls,Argiudolls
8915152,3828614,Udolls,Argiudolls
8915256,3828501,Udolls,Argiudolls
8915407,3828610,Udolls,Argiudolls
8915676,3828451,Udolls,Argiudolls
8950721,3777750,Udolls,Argiudolls
8931172,3763947,Udolls,Argiudolls
8928889,3739946,Udolls,Argiudolls
8848898,3861415,Udolls,Argiudolls
8848917,3861204,Udolls,Argiudolls
8847390,3864158,Udolls,Argiudolls
8715543,3752128,Udolls,Argiudolls
8708650,3746324,Udolls,Argiudolls
8694251,3844388,Udolls,Argiudolls
8795830,3741530,Udolls,Argiudolls
8815916,3748657,Udolls,Argiudolls
8813054,3748729,Udolls,Argiudolls
8906277,3837356,Udolls,Argiudolls
8919183,3807324,Udolls,Argiudolls
8932995,3824344,Udolls,Argiudolls
8939892,3836706,Udolls,Argiudolls
8932972,3824341,Udolls,Argiudolls
8918555,3825304,Udolls,Argiudolls
8933177,3825513,Udolls,Argiudolls
8943512,3825600,Udolls,Argiudolls
8957575,3828789,Udolls,Argiudolls
8925495,3845854,Udolls,Argiudolls
8868542,3840638,Udolls,Argiudolls
8989597,3834225,Udolls,Argiudolls
8774991,3718423,Udolls,Argiudolls
8907321,3794469,Udolls,Argiudolls
8988994,3834870,Udolls,Argiudolls
8980811,3682820,Udolls,Argiudolls
8870892,3701300,Udolls,Argiudolls
8991033,3664568,Udolls,Argiudolls
8992052,3693408,Udolls,Argiudolls
8865511,3725307,Udolls,Argiudolls
8780166,3753444,Udolls,Argiudolls
8992046,3815191,Udolls,Argiudolls
8895071,3748736,Udolls,Argiudolls
8838126,3662951,Udolls,Argiudolls
8901610,3853507,Udolls,Argiudolls
8677583,3841533,Udolls,Argiudolls
8989012,3688899,Udolls,Argiudolls
8856527,3642441,Udolls,Argiudolls
8990456,3850689,Udolls,Argiudolls
8991118,3808862,Udolls,Argiudolls
8982414,3755651,Udolls,Argiudolls
8977613,3696824,Udolls,Argiudolls
8996464,3840750,Udolls,Argiudolls
8985373,3779153,Udolls,Argiudolls
9003185,3823961,Udolls,Argiudolls
8971127,3638618,Udolls,Argiudolls
8963137,3657729,Udolls,Argiudolls
8833655,3713677,Udolls,Argiudolls
8837170,3716749,Udolls,Argiudolls
8844009,3671698,Udolls,Argiudolls
9000430,3653757,Udolls,Argiudolls
8845015,3635102,Udolls,Argiudolls
8857689,3648372,Udolls,Argiudolls
8859221,3640915,Udolls,Argiudolls
8856509,3642408,Udolls,Argiudolls
8973809,3669674,Udolls,Argiudolls
8967793,3654194,Udolls,Argiudolls
8966362,3666281,Udolls,Argiudolls
8991981,3693460,Udolls,Argiudolls
8999056,3665863,Udolls,Argiudolls
8998453,3668765,Udolls,Argiudolls
8984489,3632459,Udolls,Argiudolls
8994587,3756368,Udolls,Argiudolls
8919273,3831336,Udolls,Argiudolls
8912082,3804944,Udolls,Argiudolls
8890117,3693172,Udolls,Argiudolls
8886343,3678410,Udolls,Argiudolls
8849676,3682052,Udolls,Argiudolls
8965984,3697806,Udolls,Argiudolls
8983974,3773442,Udolls,Argiudolls
8981762,3786656,Udolls,Argiudolls
8907400,3794366,Udolls,Argiudolls
8907143,3794373,Udolls,Argiudolls
8910749,3666198,Udolls,Argiudolls
8930775,3660958,Udolls,Argiudolls
8960050,3649067,Udolls,Argiudolls
8866296,3631131,Udolls,Argiudolls
8929634,3669166,Udolls,Argiudolls
8930183,3674701,Udolls,Argiudolls
8926345,3673732,Udolls,Argiudolls
8934736,3644310,Udolls,Argiudolls
8934885,3644798,Udolls,Argiudolls
8935127,3644146,Udolls,Argiudolls
8930694,3673382,Udolls,Argiudolls
8914867,3674447,Udolls,Argiudolls
8936161,3664995,Udolls,Argiudolls
8915643,3674164,Udolls,Argiudolls
8937056,3660339,Udolls,Argiudolls
8930471,3660284,Udolls,Argiudolls
8930466,3660285,Udolls,Argiudolls
8924310,3670481,Udolls,Argiudolls
8929048,3673200,Udolls,Argiudolls
8929602,3672041,Udolls,Argiudolls
8926071,3672971,Udolls,Argiudolls
8941435,3668704,Udolls,Argiudolls
8880274,3628903,Udolls,Argiudolls
8965041,3649837,Udolls,Argiudolls
8978195,3648795,Udolls,Argiudolls
8941584,3654406,Udolls,Argiudolls
8957080,3679681,Udolls,Argiudolls
8961950,3658337,Udolls,Argiudolls
8947762,3692486,Udolls,Argiudolls
8949276,3693615,Udolls,Argiudolls
8948558,3693482,Udolls,Argiudolls
8963233,3657734,Udolls,Argiudolls
8910556,3705465,Udolls,Argiudolls
8909481,3677419,Udolls,Argiudolls
8910558,3705320,Udolls,Argiudolls
8910549,3705482,Udolls,Argiudolls
8913250,3710009,Udolls,Argiudolls
8910557,3705419,Udolls,Argiudolls
8887770,3832515,Udolls,Argiudolls
8835528,3694583,Udolls,Argiudolls
8904895,3698977,Udolls,Argiudolls
8864548,3697559,Udolls,Argiudolls
8877571,3692632,Udolls,Argiudolls
8941456,3759831,Udolls,Argiudolls
8838752,3658135,Udolls,Argiudolls
9002527,3820781,Udolls,Argiudolls
8889324,3834781,Udolls,Argiudolls
8841400,3703635,Udolls,Argiudolls
8941453,3759928,Udolls,Argiudolls
8903860,3797834,Udolls,Argiudolls
8959146,3659751,Udolls,Argiudolls
8973226,3754533,Udolls,Argiudolls
8882172,3700432,Udolls,Argiudolls
8881251,3702019,Udolls,Argiudolls
8961838,3722516,Udolls,Argiudolls
8998282,3632035,Udolls,Argiudolls
8861467,3716702,Udolls,Argiudolls
8892945,3709522,Udolls,Argiudolls
8867260,3717294,Udolls,Argiudolls
8935543,3732142,Udolls,Argiudolls
8932085,3722586,Udolls,Argiudolls
8944198,3722426,Udolls,Argiudolls
8945789,3762522,Udolls,Argiudolls
8881614,3841259,Udolls,Argiudolls
8864474,3840443,Udolls,Argiudolls
8902352,3724159,Udolls,Argiudolls
8864337,3840301,Udolls,Argiudolls
8930358,3748549,Udolls,Argiudolls
8886104,3732693,Udolls,Argiudolls
8875945,3716517,Udolls,Argiudolls
8839227,3622648,Udolls,Argiudolls
8937395,3718628,Udolls,Argiudolls
8928855,3621573,Udolls,Argiudolls
8922543,3657865,Udolls,Argiudolls
8929829,3670324,Udolls,Argiudolls
8929404,3669144,Udolls,Argiudolls
8914640,3673389,Udolls,Argiudolls
8915557,3674116,Udolls,Argiudolls
8903825,3658881,Udolls,Argiudolls
8907874,3660100,Udolls,Argiudolls
8856545,3642420,Udolls,Argiudolls
8907315,3794445,Udolls,Argiudolls
8730098,3743378,Udolls,Argiudolls
8730093,3743380,Udolls,Argiudolls
8714089,3865494,Udolls,Argiudolls
8761321,3812225,Udolls,Argiudolls
8758756,3817657,Udolls,Argiudolls
8753877,3821445,Udolls,Argiudolls
8739966,3851847,Udolls,Argiudolls
8725564,3846111,Udolls,Argiudolls
8716315,3674717,Udolls,Argiudolls
8727203,3709649,Udolls,Argiudolls
8782479,3672901,Udolls,Argiudolls
8775800,3686119,Udolls,Argiudolls
8749933,3648057,Udolls,Argiudolls
8813624,3813228,Udolls,Argiudolls
8813828,3813219,Udolls,Argiudolls
8819884,3766063,Udolls,Argiudolls
8931713,3715532,Udolls,Argiudolls
8887790,3737018,Udolls,Argiudolls
8896301,3725125,Udolls,Argiudolls
8973822,3804292,Udolls,Argiudolls
8959604,3712206,Udolls,Argiudolls
8919323,3772905,Udolls,Argiudolls
8899680,3715518,Udolls,Argiudolls
8897471,3714188,Udolls,Argiudolls
8952313,3769754,Udolls,Argiudolls
8956708,3774912,Udolls,Argiudolls
8959598,3712289,Udolls,Argiudolls
8923297,3694194,Udolls,Argiudolls
8915537,3769590,Udolls,Argiudolls
8970723,3807065,Udolls,Argiudolls
8890345,3776272,Udolls,Argiudolls
8867870,3729478,Udolls,Argiudolls
8867103,3728928,Udolls,Argiudolls
8865503,3725321,Udolls,Argiudolls
8948317,3701594,Udolls,Argiudolls
8954643,3713334,Udolls,Argiudolls
8869669,3633102,Udolls,Argiudolls
8928233,3761149,Udolls,Argiudolls
8899737,3866068,Udolls,Argiudolls
8899136,3851407,Udolls,Argiudolls
8753276,3769587,Udolls,Argiudolls
8737790,3779070,Udolls,Argiudolls
8739034,3765457,Udolls,Argiudolls
8771060,3760712,Udolls,Argiudolls
8750796,3782692,Udolls,Argiudolls
8870832,3660742,Udolls,Argiudolls
8910832,3708907,Udolls,Argiudolls
8897027,3686960,Udolls,Argiudolls
8890543,3813223,Udolls,Argiudolls
8886658,3833382,Udolls,Argiudolls
8913906,3766550,Udolls,Argiudolls
8927971,3706555,Udolls,Argiudolls
8911215,3720609,Udolls,Argiudolls
8928889,3707833,Udolls,Argiudolls
8899628,3722110,Udolls,Argiudolls
8896420,3725149,Udolls,Argiudolls
8924362,3770540,Udolls,Argiudolls
8966901,3768347,Udolls,Argiudolls
8969303,3786429,Udolls,Argiudolls
8888738,3767948,Udolls,Argiudolls
8860649,3828749,Udolls,Argiudolls
8892034,3690743,Udolls,Argiudolls
8914775,3708809,Udolls,Argiudolls
8880169,3708706,Udolls,Argiudolls
8862337,3697480,Udolls,Argiudolls
8840496,3673232,Udolls,Argiudolls
8839844,3663329,Udolls,Argiudolls
8840907,3663087,Udolls,Argiudolls
8839816,3662899,Udolls,Argiudolls
8959074,3759882,Udolls,Argiudolls
8884674,3724465,Udolls,Argiudolls
8979325,3763526,Udolls,Argiudolls
8964105,3697171,Udolls,Argiudolls
8965958,3713121,Udolls,Argiudolls
8926259,3698650,Udolls,Argiudolls
8939229,3776831,Udolls,Argiudolls
8917995,3845110,Udolls,Argiudolls
8890383,3776564,Udolls,Argiudolls
8890163,3777796,Udolls,Argiudolls
8918329,3806049,Udolls,Argiudolls
8954931,3702025,Udolls,Argiudolls
8821878,3680343,Udolls,Argiudolls
8811796,3694881,Udolls,Argiudolls
8821871,3679887,Udolls,Argiudolls
